"perfil","hz","decisao","lado","broker","modo","carga","rodadas","validas","invalidas","descartadas_tukey","usadas","vazao_mediana","vazao_dp","p50_ms","p95_ms","p99_ms","p99_dp","max_ms","cpu_consumidor","cpu_broker","cpu_produtor","mem_consumidor_mb","mem_broker_mb","bytes_por_evento","gc0_por_milhao","gc1_por_milhao","gc2_por_milhao","sustentada","falhou_em","rodadas_que_cumprem","poucas_rodadas"
"padrao","100","2.1-nagle","nagle-desligado","kafka","direct","20000","3","3","","0","3","20001","0","3.027","5.375","5.739","0.172","92.671","11.5","41.3","106.5","104","1170","963.3","96.50","5.00","0.50","True","","3/3","True"
"padrao","100","2.1-nagle","nagle-ligado","kafka","direct","20000","3","3","","0","3","20001","0","3.041","5.399","5.807","0.457","31.679","11.5","40.9","106.1","103","1163","963.3","96.50","5.00","0.50","True","","3/3","True"
"padrao","100","2.1-nagle","nagle-desligado","kafka","direct","100000","3","2","atraso_envio=1","0","2","100003","1","3.058","5.285","8.577","4.093","246.399","23.5","42.1","111.9","107","1433","953.7","95.70","1.00","0.10","True","","2/3","True"
"padrao","100","2.1-nagle","nagle-ligado","kafka","direct","100000","3","2","atraso_envio=1","0","2","100003","0","3.05","5.263","5.627","0.079","144.351","23.2","38.4","108.5","107","1428","953.9","95.75","1.00","0.10","True","","2/3","True"
"padrao","100","2.4-janela-kafka","fila-100000","kafka","direct","200000","3","0","atraso_envio=3","0","0","","","","","","","","","","","","","","","","","False","maioria_invalida","0/3","True"
"padrao","100","2.4-janela-kafka","fila-1000000","kafka","direct","200000","3","2","atraso_envio=1","0","2","200005","2","3.159","5.315","29.399","18.656","426.303","37.0","43.5","119.1","122","1531","952.1","95.60","0.50","0.05","True","","2/3","True"
"padrao","100","2.3-prefetch","prefetch-300","rabbitmq","direct","40000","3","3","","0","3","40000","1","1.019","4.815","8.855","0.65","58.175","95.8","324.9","302.3","92","215","732.3","73.75","2.75","0.25","True","","3/3","True"
"padrao","100","2.3-prefetch","prefetch-sem-limite","rabbitmq","direct","40000","3","3","","0","3","40001","0","1.047","5.139","9.479","0.095","63.519","95.1","322.4","302.7","91","203","732.0","73.50","2.75","0.25","True","","3/3","True"
"padrao","100","2.2-persistencia","persistente","rabbitmq","direct","40000","3","3","","0","3","40001","0","1.031","4.883","8.367","0.106","33.343","93.1","318.6","290.9","91","187","732.1","73.50","2.50","0.25","True","","3/3","True"
"padrao","100","2.2-persistencia","transitoria","rabbitmq","direct","40000","3","3","","0","3","40000","0","0.3","1.498","4.387","0.141","49.215","135.0","330.3","325.1","91","154","767.9","77.25","2.50","0.25","True","","3/3","True"
"padrao","100","2.4-janela-rabbit","em-voo-8000","rabbitmq","direct","60000","3","3","","0","3","60000","1","1.957","7.843","24.623","3.246","91.583","93.0","303.6","296.6","92","186","723.1","72.67","1.67","0.17","True","","3/3","True"
"padrao","100","2.4-janela-rabbit","em-voo-100000","rabbitmq","direct","60000","3","3","","0","3","60003","2","1.935","8.391","32.751","11.548","96.767","99.1","326.1","298.0","92","232","722.9","72.67","1.83","0.17","True","","3/3","True"
"padrao","100","2.3-prefetch","prefetch-300","rabbitmq","direct","60000","3","3","","0","3","60001","2","2.057","8.311","25.295","5.84","91.967","99.9","326.0","305.3","94","207","722.9","72.67","1.67","0.17","True","","3/3","True"
"padrao","100","2.3-prefetch","prefetch-sem-limite","rabbitmq","direct","60000","3","3","","0","3","60001","1","2.241","8.639","26.063","3.124","107.391","97.8","325.4","304.6","92","162","723.8","72.83","1.83","0.17","True","","3/3","True"
