"perfil","hz","decisao","lado","broker","modo","ponto_saturacao","irregular","cargas"
"padrao","100","2.1-nagle","nagle-desligado","kafka","direct","100000","False","20000:ok 100000:ok"
"padrao","100","2.1-nagle","nagle-ligado","kafka","direct","100000","False","20000:ok 100000:ok"
"padrao","100","2.4-janela-kafka","fila-100000","kafka","direct","0","False","200000:maioria_invalida"
"padrao","100","2.4-janela-kafka","fila-1000000","kafka","direct","200000","False","200000:ok"
"padrao","100","2.3-prefetch","prefetch-300","rabbitmq","direct","60000","False","40000:ok 60000:ok"
"padrao","100","2.3-prefetch","prefetch-sem-limite","rabbitmq","direct","60000","False","40000:ok 60000:ok"
"padrao","100","2.2-persistencia","persistente","rabbitmq","direct","40000","False","40000:ok"
"padrao","100","2.2-persistencia","transitoria","rabbitmq","direct","40000","False","40000:ok"
"padrao","100","2.4-janela-rabbit","em-voo-8000","rabbitmq","direct","60000","False","60000:ok"
"padrao","100","2.4-janela-rabbit","em-voo-100000","rabbitmq","direct","60000","False","60000:ok"
