"perfil","hz","decisao","lado","broker","carga","modo","efeito_p99","efeito_vazao","relevante","kruskal_h","kruskal_p","modos_no_teste"
"anterior","100",,,"kafka","50000","channels","-8.0%","0.0%","False","","","3"
"anterior","100",,,"kafka","50000","pipelines","-8.4%","0.0%","False","","","3"
"anterior","100",,,"kafka","100000","channels","3309.1%","0.0%","True","","","3"
"anterior","100",,,"kafka","100000","pipelines","2.9%","0.0%","False","","","3"
"anterior","100",,,"kafka","200000","channels","9311.6%","0.0%","True","","","3"
"anterior","100",,,"kafka","200000","pipelines","4.7%","0.0%","False","","","3"
"anterior","100",,,"kafka","300000","pipelines","","","","","","1"
"anterior","100",,,"rabbitmq","20000","channels","9.9%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","20000","pipelines","9.6%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","30000","channels","4.7%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","30000","pipelines","-3.7%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","40000","channels","-30.6%","0.0%","True","","","3"
"anterior","100",,,"rabbitmq","40000","pipelines","-26.1%","0.0%","True","","","3"
"anterior","100",,,"rabbitmq","50000","channels","18.2%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","50000","pipelines","-10.3%","0.0%","False","","","3"
"anterior","100",,,"rabbitmq","60000","channels","14.3%","0.0%","False","","","2"
"anterior","100",,,"rabbitmq","80000","channels","","","","","","1"
