"perfil","hz","decisao","lado","broker","modo","carga","rodadas","validas","invalidas","descartadas_tukey","usadas","vazao_mediana","vazao_dp","p50_ms","p95_ms","p99_ms","p99_dp","max_ms","cpu_consumidor","cpu_broker","cpu_produtor","mem_consumidor_mb","mem_broker_mb","bytes_por_evento","gc0_por_milhao","gc1_por_milhao","gc2_por_milhao","sustentada","falhou_em","rodadas_que_cumprem","poucas_rodadas"
"anterior","100",,,"kafka","channels","50000","1","1","","0","1","50006","","3.149","5.423","5.823","","14.183","36.1","42.8","105.5","106","1669","1151.5","96.00","2.00","0.50","True","","1/1","True"
"anterior","100",,,"kafka","channels","100000","1","1","","0","1","100009","","3.215","5.487","200.831","","453.119","53.6","49.0","109.4","109","1703","1148.2","95.75","1.00","0.25","False","p99","0/1","True"
"anterior","100",,,"kafka","channels","200000","1","1","","0","1","200015","","3.457","92.287","589.823","","814.079","90.3","49.0","116.8","147","1562","1146.2","95.75","0.50","0.13","False","p99","0/1","True"
"anterior","100",,,"kafka","channels","300000","1","0","atraso_envio=1","0","0","","","","","","","","","","","","","","","","","False","maioria_invalida","0/1","True"
"anterior","100",,,"kafka","direct","50000","1","1","","0","1","50005","","3.225","5.519","6.327","","28.511","18.6","72.0","106.2","105","1173","1151.3","96.00","2.00","0.50","True","","1/1","True"
"anterior","100",,,"kafka","direct","100000","1","1","","0","1","100012","","3.235","5.447","5.891","","25.871","26.5","54.3","109.0","107","1553","1147.0","95.75","1.00","0.25","True","","1/1","True"
"anterior","100",,,"kafka","direct","200000","1","1","","0","1","200007","","3.205","5.347","6.267","","82.431","38.5","51.8","116.6","105","1625","1144.9","95.63","0.50","0.13","True","","1/1","True"
"anterior","100",,,"kafka","direct","300000","1","0","atraso_envio=1","0","0","","","","","","","","","","","","","","","","","False","maioria_invalida","0/1","True"
"anterior","100",,,"kafka","pipelines","50000","1","1","","0","1","50006","","3.143","5.411","5.795","","11.791","37.2","44.7","106.0","103","1541","1151.4","96.00","2.00","0.50","True","","1/1","True"
"anterior","100",,,"kafka","pipelines","100000","1","1","","0","1","100003","","3.311","5.507","6.063","","15.207","54.5","45.6","108.7","104","1647","1148.2","95.75","1.00","0.25","True","","1/1","True"
"anterior","100",,,"kafka","pipelines","200000","1","1","","0","1","200023","","3.293","5.391","6.563","","129.791","102.4","47.8","116.2","104","1738","1145.7","95.75","0.50","0.13","True","","1/1","True"
"anterior","100",,,"kafka","pipelines","300000","1","1","","0","1","300028","","3.509","5.503","6.227","","19.295","131.7","49.4","123.0","105","1594","1145.7","95.75","0.33","0.08","True","","1/1","True"
"anterior","100",,,"kafka","pipelines","400000","1","0","atraso_envio=1","0","0","","","","","","","","","","","","","","","","","False","maioria_invalida","0/1","True"
"anterior","100",,,"rabbitmq","channels","20000","1","1","","0","1","20000","","0.621","3.285","5.931","","16.447","95.6","258.1","217.7","85","187","923.8","77.50","5.00","1.25","True","","1/1","True"
"anterior","100",,,"rabbitmq","channels","30000","1","1","","0","1","30000","","0.83","4.395","7.411","","20.335","99.8","314.1","278.7","92","122","894.9","75.00","3.33","0.83","True","","1/1","True"
"anterior","100",,,"rabbitmq","channels","40000","1","1","","0","1","40007","","1.178","5.499","9.223","","40.639","97.1","316.5","290.3","92","155","880.5","73.75","3.13","0.63","True","","1/1","True"
"anterior","100",,,"rabbitmq","channels","50000","1","1","","0","1","50001","","1.717","7.491","21.375","","100.415","96.8","315.0","288.9","91","220","874.4","73.00","2.50","0.50","True","","1/1","True"
"anterior","100",,,"rabbitmq","channels","60000","1","1","","0","1","60000","","2.375","10.831","47.199","","86.911","103.4","320.0","294.5","91","250","869.3","72.92","2.08","0.42","True","","1/1","True"
"anterior","100",,,"rabbitmq","channels","80000","1","1","","0","1","80009","","5.443","31.839","86.655","","155.775","115.7","341.0","292.6","91","170","865.3","72.50","1.25","0.31","False","p99","0/1","True"
"anterior","100",,,"rabbitmq","direct","20000","1","1","","0","1","20000","","0.599","2.909","5.399","","17.903","95.2","305.1","223.3","86","179","923.8","76.25","6.25","1.25","True","","1/1","True"
"anterior","100",,,"rabbitmq","direct","30000","1","1","","0","1","29998","","0.792","3.943","7.079","","23.839","94.1","310.1","288.2","92","120","893.7","75.00","3.33","0.83","True","","1/1","True"
"anterior","100",,,"rabbitmq","direct","40000","1","1","","0","1","40017","","1.317","6.339","13.295","","83.967","90.0","313.6","288.5","90","134","878.3","73.13","3.13","0.63","True","","1/1","True"
"anterior","100",,,"rabbitmq","direct","50000","1","1","","0","1","49996","","1.8","7.235","18.079","","73.663","88.2","307.3","284.0","91","146","873.0","73.00","2.50","0.50","True","","1/1","True"
"anterior","100",,,"rabbitmq","direct","60000","1","1","","0","1","60002","","2.683","10.679","41.279","","101.887","96.1","307.2","265.3","92","139","868.2","72.50","2.08","0.42","True","","1/1","True"
"anterior","100",,,"rabbitmq","direct","80000","1","0","atraso_envio=1","0","0","","","","","","","","","","","","","","","","","False","maioria_invalida","0/1","True"
"anterior","100",,,"rabbitmq","pipelines","20000","1","1","","0","1","20000","","0.63","3.387","5.919","","17.583","100.0","287.1","232.1","87","123","923.8","77.50","5.00","1.25","True","","1/1","True"
"anterior","100",,,"rabbitmq","pipelines","30000","1","1","","0","1","30001","","0.808","3.999","6.815","","22.399","100.3","299.3","267.4","93","126","894.9","75.00","3.33","0.83","True","","1/1","True"
"anterior","100",,,"rabbitmq","pipelines","40000","1","1","","0","1","40002","","1.258","5.879","9.831","","50.815","95.0","284.4","282.3","91","135","879.5","73.75","3.13","0.63","True","","1/1","True"
"anterior","100",,,"rabbitmq","pipelines","50000","1","1","","0","1","50004","","1.712","7.043","16.215","","75.583","87.4","268.7","270.8","92","145","873.8","73.00","2.50","0.50","True","","1/1","True"
