"source","run_id","profile","hz","decisao","lado","broker","mode","rate","valid","motivo","tukey","p99","jitter"
"sweep-100hz-kafka-runs.csv","8d9e19db-be69-4e90-85b3-d52a53b045cb","anterior","100",,,"kafka","direct","50000","True","","False","6,327","6,04"
"sweep-100hz-kafka-runs.csv","c03e730d-195f-4594-8854-fb3c3ba72c2a","anterior","100",,,"kafka","direct","100000","True","","False","5,891","5,02"
"sweep-100hz-kafka-runs.csv","41f29bd2-b988-4438-b59a-5c07ebf9420a","anterior","100",,,"kafka","direct","200000","True","","False","6,267","9,89"
"sweep-100hz-kafka-runs.csv","eba25cf0-f507-4e29-b5f4-d3b361b5fdcf","anterior","100",,,"kafka","direct","300000","False","atraso_envio","False","10,223","128,18"
"sweep-100hz-kafka-runs.csv","06ab80b0-dada-468e-ab53-4fde65facec0","anterior","100",,,"kafka","channels","50000","True","","False","5,823","5,06"
"sweep-100hz-kafka-runs.csv","d56b153c-d2b2-4857-b72a-0bfbfd0dfc73","anterior","100",,,"kafka","channels","100000","True","","False","200,831","10,4"
"sweep-100hz-kafka-runs.csv","3bd19d41-0013-4928-b498-ec898ae373bb","anterior","100",,,"kafka","channels","200000","True","","False","589,823","24,61"
"sweep-100hz-kafka-runs.csv","d58461fc-e747-4921-8cad-5e03f11fe672","anterior","100",,,"kafka","channels","300000","False","atraso_envio","False","1907,711","2548,38"
"sweep-100hz-kafka-runs.csv","5a174e68-7b4c-4cc6-9f38-cc2e27681fed","anterior","100",,,"kafka","pipelines","50000","True","","False","5,795","5,11"
"sweep-100hz-kafka-runs.csv","7c91cb10-3eec-47be-8c1c-1033071e8364","anterior","100",,,"kafka","pipelines","100000","True","","False","6,063","4,39"
"sweep-100hz-kafka-runs.csv","196e0181-1ba8-47d1-8676-22523d102e89","anterior","100",,,"kafka","pipelines","200000","True","","False","6,563","9,72"
"sweep-100hz-kafka-runs.csv","b62af982-e2d2-4bd7-ba00-9924c656e3a2","anterior","100",,,"kafka","pipelines","300000","True","","False","6,227","6,1"
"sweep-100hz-kafka-runs.csv","f79befa4-36ba-4431-88c8-3d4c589eccbe","anterior","100",,,"kafka","pipelines","400000","False","atraso_envio","False","44,415","130,91"
"sweep-100hz-rabbit-runs.csv","d91fd6a4-f13f-4280-8f98-3f70ff28fa61","anterior","100",,,"rabbitmq","direct","20000","True","","False","5,399","11,85"
"sweep-100hz-rabbit-runs.csv","035d81b0-7ac6-4f88-936c-c7996a819f19","anterior","100",,,"rabbitmq","direct","30000","True","","False","7,079","8,12"
"sweep-100hz-rabbit-runs.csv","02f9c194-0b96-432e-a169-d8802e097b2b","anterior","100",,,"rabbitmq","direct","40000","True","","False","13,295","18,93"
"sweep-100hz-rabbit-runs.csv","5ecd31f5-4a17-4ec1-ab72-d099171ae663","anterior","100",,,"rabbitmq","direct","50000","True","","False","18,079","32,44"
"sweep-100hz-rabbit-runs.csv","3f9b8acc-aa19-450b-8bee-41c5ea73287a","anterior","100",,,"rabbitmq","direct","60000","True","","False","41,279","18,65"
"sweep-100hz-rabbit-runs.csv","57fb7afc-1b4f-45aa-ba39-c34830df1dd7","anterior","100",,,"rabbitmq","direct","80000","False","atraso_envio","False","136,319","59,76"
"sweep-100hz-rabbit-runs.csv","96e6b077-6a73-4880-a77e-d57009cd1823","anterior","100",,,"rabbitmq","channels","20000","True","","False","5,931","10,48"
"sweep-100hz-rabbit-runs.csv","276521ac-6915-4203-a6d2-4960f2df4119","anterior","100",,,"rabbitmq","channels","30000","True","","False","7,411","8,46"
"sweep-100hz-rabbit-runs.csv","0d50d6b1-2070-4846-a048-c8fe5d92e67d","anterior","100",,,"rabbitmq","channels","40000","True","","False","9,223","11,21"
"sweep-100hz-rabbit-runs.csv","d705bcae-a3fb-4d3d-b5a8-0be6465ee3a9","anterior","100",,,"rabbitmq","channels","50000","True","","False","21,375","11,63"
"sweep-100hz-rabbit-runs.csv","04816790-d317-4f76-b052-b006159725ae","anterior","100",,,"rabbitmq","channels","60000","True","","False","47,199","18,34"
"sweep-100hz-rabbit-runs.csv","948783dc-a78e-4fe6-bb69-7bd762a7c17a","anterior","100",,,"rabbitmq","channels","80000","True","","False","86,655","38,06"
"sweep-100hz-rabbit-runs.csv","39ec8e4a-5bda-4a50-bb97-34a40baea855","anterior","100",,,"rabbitmq","pipelines","20000","True","","False","5,919","10,99"
"sweep-100hz-rabbit-runs.csv","dd5a7182-ba84-4558-a62a-56031322fbf7","anterior","100",,,"rabbitmq","pipelines","30000","True","","False","6,815","8,52"
"sweep-100hz-rabbit-runs.csv","ddbc6582-2c98-4293-b4e4-1611969b4232","anterior","100",,,"rabbitmq","pipelines","40000","True","","False","9,831","15,18"
"sweep-100hz-rabbit-runs.csv","cd1bcf5d-87a6-48f8-911b-2432a0ed5ad3","anterior","100",,,"rabbitmq","pipelines","50000","True","","False","16,215","10,28"
"sweep-100hz-rabbit-runs.csv","182cab0b-d165-468b-b25e-214603a65bd9","anterior","100",,,"rabbitmq","pipelines","60000","False","atraso_envio","False","34,367","50,57"
