timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped
2026-09-24T05:30:33.5540765+00:00,e9accf13-7d4c-401a-8742-6eab19a79aad,rabbitmq-direct,4,60000,1,0,1,6000000,89.982,60003.0,5504.9,2139,27487,48479,197631,101.6,177.1,92.2,95.2,449,11,1,4014,1581635,7B60F4074FB17651,600787,5399213,1581635,0
2026-09-24T05:32:29.3578926+00:00,4b28a9fd-d8e5-4fda-986c-7ba7bf190357,rabbitmq-direct,4,60000,3,0,1,6000000,89.985,60003.3,5222.7,3581,13543,37215,115711,102.1,186.9,87.9,90.9,446,11,1,3998,1581635,7B60F4074FB17651,600607,5399393,1581635,0
2026-09-24T05:34:25.3841502+00:00,56b8c657-d466-447b-8fa4-fdab90f6003f,rabbitmq-direct,4,60000,4,0,1,6000000,89.988,60003.9,2367.5,1116,8863,26799,84415,97.7,159.0,90.7,94.0,447,11,2,3997,1581635,7B60F4074FB17651,600397,5399603,1581635,0
2026-09-24T05:36:21.5058286+00:00,b14c0f6c-00b0-4e8f-8799-5ba5675449e5,rabbitmq-direct,4,60000,4,0,1,6000000,89.984,60002.2,5915.2,4167,16671,34239,87039,102.0,196.3,92.2,95.0,446,11,1,3996,1581635,7B60F4074FB17651,600772,5399228,1581635,0
2026-09-24T05:38:18.1359193+00:00,8d459e81-9cc1-429a-a643-b90e10e697f0,rabbitmq-direct,4,60000,5,0,1,6000000,89.986,59999.6,5929.8,2297,29871,54975,99199,100.6,166.4,92.4,95.8,449,11,1,4013,1581635,7B60F4074FB17651,600903,5399097,1581635,0
2026-09-24T05:40:14.4338226+00:00,86a796d5-34c3-4aa0-b6ac-4869920c91bd,rabbitmq-direct,4,60000,2,0,1,6000000,89.988,60000.2,1987.1,1055,5463,24399,59743,97.4,185.8,89.5,94.7,447,10,2,3997,1581635,7B60F4074FB17651,600728,5399272,1581635,0
2026-09-24T05:42:10.8176444+00:00,45e66c50-25e4-4051-b47e-a5c2b5bd7ac4,rabbitmq-direct,4,60000,3,0,1,6000000,89.987,60000.1,5081.4,2131,24479,44735,94335,100.7,173.5,93.9,97.3,448,11,1,4014,1581635,7B60F4074FB17651,600762,5399238,1581635,0
2026-09-24T05:44:06.8554927+00:00,d16cb2c1-ba64-4871-8d10-d049883f21a6,rabbitmq-direct,4,40000,1,0,1,4000000,89.987,39999.7,2542.3,1482,7259,15271,79999,92.0,166.3,88.1,91.6,301,12,1,2693,1054171,1B1596EF15511858,400563,3599437,1054171,0
2026-09-24T05:46:02.9009894+00:00,14d013f8-e281-47b4-803f-36493cfb44fe,rabbitmq-direct,4,40000,4,0,1,4000000,89.988,39999.7,1095.8,656,2401,13983,39135,79.2,163.0,88.8,90.8,300,10,1,2684,1054171,1B1596EF15511858,400508,3599492,1054171,0
2026-09-24T05:47:58.7404717+00:00,ac1a6e2b-c177-41d7-a3e6-5d814d3211b2,rabbitmq-direct,4,60000,1,0,1,6000000,89.987,60002.0,8114.5,4479,27151,75071,197887,103.9,188.7,92.6,95.3,446,11,1,3994,1581635,7B60F4074FB17651,600582,5399418,1581635,0
