"run_id","lado","carga","p99_ms","atraso_ms","episodios","tem_linha_do_tempo","pior_inicio_utc","pior_latencia_ms","pior_atraso_ms","pior_confirmado_sobre_emitido","pior_gc_produtor_ms","pior_gc_consumidor_ms","pior_gc_broker_ms"
"dd06be92-8a54-4ebc-a46b-ed80bccde578","direct","100000","5,78","6.71","1","True","17:54:01.352","88,2","0","0,97","2,6","2,6","6,1"
"bc1bae65-4c70-4605-87dc-30e4ce2c1f7e","channels","100000","5,87","7.66","0","True",,,,,,,
"43d5b2da-9783-473e-9957-222d1d829613","direct","100000","5,96","9.58","0","True",,,,,,,
"5dd14a9a-86db-40e0-bcd6-526ed7d3aa6b","channels","100000","5,9","5.55","0","True",,,,,,,
"b0a37e5d-aa3b-4b4e-9c85-6394a9303269","direct","100000","5,76","4.25","0","True",,,,,,,
"7b94b50a-5eec-4053-bda8-22eab5aaee05","channels","100000","5,91","8.82","0","True",,,,,,,
"4ee29c70-2ca9-46e8-a92d-636ec9e41115","direct","100000","5,84","4.73","0","True",,,,,,,
"f69bfa5e-4bbf-42cb-a0e4-d9bbc2f79753","channels","100000","5,78","4.01","0","True",,,,,,,
"4be8a247-c434-4d00-b5c5-2aceb862cb80","direct","100000","5,92","6.78","1","True","18:09:44.837","204,5","5,7","1","8,3","3,8","0"
"39882216-afbe-4c2c-9280-ac850246cdf1","channels","100000","926,72","727.54","4","True","18:12:02.371","1728,8","727,5","1,43","76,9","11,8","0"
"8d697878-eab7-4fd7-8ebc-b7eb3f5aafd2","direct","200000","7,21","12.27","2","True","18:13:15.398","256,3","9,5","1","30,7","6,6","0"
"a475f7d3-e3d0-4dd0-bf61-c5e48e8f50cb","channels","200000","6,84","69.72","3","True","18:16:14.132","436,3","16,2","0,82","46,3","11,4","0"
"cb0b2701-df2e-4d5c-bc06-0e6d1c6aed11","direct-fila-1M","200000","5,61","189.81","1","True","18:17:42.611","241,8","189,8","1","34,6","7,2","0"
"2354b0be-3377-497b-aad4-288b149a53ed","direct","200000","5,77","13.77","1","True","18:20:25.873","209,6","0","1","24,9","6,2","5,9"
"6ca59b33-3c9b-42bf-9a21-1fc4f9be1555","channels","200000","7,73","2062.53","3","True","18:21:44.998","2145,8","2062,5","1,01","76,3","20,6","0"
"89eef547-c534-4615-93a6-8b48282fa28b","direct-fila-1M","200000","5,94","59.05","2","True","18:23:47.192","216,5","59,1","0,89","22,8","6,2","0"
"285bd51e-4ab1-44bb-a2e4-3f93e4a0e80f","direct","200000","5,55","6.44","1","True","18:26:27.241","87,3","0","0,95","7,4","6,1","0"
"0de16dea-ee4a-4c17-9bc5-51436b5fefa8","channels","200000","5,65","4.40","1","True","18:27:31.187","51,3","0","0,98","6,3","5,9","0"
"046e4f54-ea56-4538-b5a9-991e47f037de","direct-fila-1M","200000","5,53","6.73","0","True",,,,,,,
"2ec61540-b09e-459e-919f-aee628958c8d","direct","200000","5,48","7.54","0","True",,,,,,,
"5d1b3d9d-4729-4a83-9262-99ed2ad9e3f0","channels","200000","5,65","4.94","0","True",,,,,,,
"14f6ca09-dacc-4943-a025-869d5de28b03","direct-fila-1M","200000","5,59","32.90","1","True","18:35:41.893","178,3","8,5","0,84","15,6","6,2","0"
"d7de6d0c-e030-4a39-ac98-ecf709c8dc8b","direct","200000","9,58","15.43","2","True","18:38:35.482","360,5","15,4","0,86","40,3","7,9","0"
"b6322d09-7b1a-4a38-9768-aba15736aa3e","channels","200000","5,61","4.44","0","True",,,,,,,
"3aaa5613-cae4-4fed-a6dc-4479c683e398","direct-fila-1M","200000","5,54","5.14","0","True",,,,,,,
