timestamp,sink,target_rate,achieved_rate,rate_error_pct,max_lateness_ms,events,fleet,dataset_laps
2026-09-23T07:05:13.7465449+00:00,rabbitmq,10000,9999.9,-0.001,30.83,1000000,134,0
2026-09-23T07:07:17.4421629+00:00,kafka,10000,9994.2,-0.058,4.87,1000000,134,0
2026-09-23T07:09:20.2642884+00:00,kafka,10000,9999.9,-0.001,5.66,1000000,134,0
2026-09-23T07:11:22.5982755+00:00,kafka,10000,9999.9,-0.001,5.16,1000000,134,0
2026-09-23T07:13:25.2098297+00:00,kafka,20000,19999.7,-0.001,4.99,2000000,268,0
2026-09-23T07:15:23.8472010+00:00,rabbitmq,30000,29999.8,-0.001,37.72,3000000,402,0
2026-09-23T07:17:27.4084292+00:00,kafka,10000,9998.2,-0.018,4.66,1000000,134,0
2026-09-23T07:19:29.9825610+00:00,kafka,5000,4999.9,-0.002,4.60,500000,67,0
2026-09-23T07:21:32.5777063+00:00,kafka,5000,5000.0,-0.001,7.14,500000,67,0
2026-09-23T07:23:35.4058010+00:00,kafka,30000,29988.1,-0.040,5.65,3000000,402,0
2026-09-23T07:25:38.0260854+00:00,kafka,20000,19997.7,-0.012,5.30,2000000,268,0
2026-09-23T07:27:40.7335458+00:00,kafka,30000,29995.7,-0.014,4.86,3000000,402,0
2026-09-23T07:29:39.5447458+00:00,rabbitmq,5000,5000.0,-0.000,22.34,500000,67,0
2026-09-23T07:31:42.6342510+00:00,kafka,20000,19998.9,-0.006,6.42,2000000,268,0
2026-09-23T07:33:41.6810946+00:00,rabbitmq,30000,29999.7,-0.001,32.64,3000000,402,0
2026-09-23T07:35:41.2002928+00:00,rabbitmq,5000,5000.0,-0.000,23.83,500000,67,0
2026-09-23T07:37:40.4911047+00:00,rabbitmq,10000,9999.9,-0.001,22.56,1000000,134,0
2026-09-23T07:39:39.7981222+00:00,rabbitmq,5000,5000.0,-0.000,22.82,500000,67,0
2026-09-23T07:41:39.0217954+00:00,rabbitmq,20000,19999.8,-0.001,34.32,2000000,268,0
2026-09-23T07:43:42.0253085+00:00,kafka,20000,19999.7,-0.001,4.90,2000000,268,0
2026-09-23T07:45:41.0471683+00:00,rabbitmq,30000,29999.5,-0.002,35.29,3000000,402,0
2026-09-23T07:47:44.0959526+00:00,kafka,30000,29999.5,-0.002,4.56,3000000,402,0
2026-09-23T07:49:46.9051702+00:00,kafka,30000,29999.6,-0.001,6.03,3000000,402,0
2026-09-23T07:51:49.4911478+00:00,kafka,10000,9997.3,-0.027,10.00,1000000,134,0
2026-09-23T07:53:48.4444936+00:00,rabbitmq,5000,5000.0,-0.000,20.35,500000,67,0
