"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","consumer_container_cpu_avg","consumer_container_mem_peak_mb","producer_cpu_avg","producer_cpu_peak","producer_mem_peak_mb","client_placement","warmup_seconds","measure_seconds","commit"
"2026-09-23T16:52:53.1710281+00:00","15a50be6-48b3-4aef-b772-879f4d7695dc","kafka-channels","4","60000","3","0","1","6000000","89.931","60001.3","3122.3","3119","5375","5719","18511","49.2","132.9","103.1","107.9","589","11","1","5266","1581635","7B60F4074FB17651","604010","5395990","1581635","0","59998.6","4.96","58.5","119.7","1278.0","1671.3","4.8","6.5","179.2","304.6","50.8","56.7","109.9","112.5","115.0","container","10","90","7e283c2"
"2026-09-23T16:54:52.5055957+00:00","cfcf9384-ec8d-4ecb-912b-30a6f29becb8","kafka-direct","4","20000","3","0","1","2000000","89.946","20000.2","3048.6","3049","5379","5655","27503","17.3","70.8","100.4","104.6","197","10","1","1769","527750","CF55C698510651DB","201069","1798931","527750","0","19997.6","6.50","44.7","53.7","1445.3","1576.0","1.9","2.8","313.7","314.3","17.7","111.1","106.8","108.9","229.5","container","10","90","7e283c2"
"2026-09-23T16:56:51.9987699+00:00","67371d98-8cb5-46a8-a1cc-7aa5f467778c","kafka-direct","4","40000","5","0","1","4000000","89.944","40001.6","3070.6","3061","5339","5623","48223","22.6","77.4","100.7","102.7","392","10","1","3518","1054171","1B1596EF15511858","402111","3597889","1054171","0","39999.3","4.53","45.2","52.3","1418.4","1520.3","3.2","4.5","314.6","316.1","23.0","160.6","108.3","110.4","343.8","container","10","90","7e283c2"
"2026-09-23T16:58:47.7835838+00:00","52ff907e-fc96-4bab-97b4-64b70e48d645","rabbitmq-channels","4","60000","4","0","1","6000000","89.983","60001.2","1735.7","974","4559","21263","43615","99.5","215.0","88.0","91.7","447","11","2","4001","1581635","7B60F4074FB17651","600934","5399066","1581635","0","59998.8","26.90","299.2","308.8","154.3","238.7","5.8","7.8","315.1","317.3","102.4","204.9","286.3","294.7","432.0","container","10","90","7e283c2"
"2026-09-23T17:00:46.8885060+00:00","4149d4d0-3670-4529-bc57-43c74aca9f9f","kafka-direct","4","60000","5","0","1","6000000","89.946","60001.1","4154.5","3101","5367","16655","247039","27.5","94.1","106.6","110.9","588","11","1","5264","1581635","7B60F4074FB17651","603141","5396859","1581635","0","59998.6","4.79","46.8","53.0","1506.6","1704.6","4.7","6.3","320.7","323.3","28.3","208.4","110.1","111.9","433.8","container","10","90","7e283c2"
"2026-09-23T17:02:46.1205414+00:00","99ff323e-5552-4cf2-a14e-b08dc0ce5665","kafka-pipelines","4","60000","3","0","1","6000000","89.944","60000.9","3136.9","3133","5379","5715","29871","51.7","136.9","104.7","109.9","589","11","1","5265","1581635","7B60F4074FB17651","603274","5396726","1581635","0","59998.8","6.40","49.8","54.7","1524.3","1769.1","4.9","6.7","320.6","326.2","53.2","215.5","110.0","111.9","433.7","container","10","90","7e283c2"
"2026-09-23T17:04:41.8220707+00:00","673461af-c73c-421b-a555-8d2679ffddee","rabbitmq-channels","4","60000","3","0","1","6000000","89.986","60000.2","1815.3","993","4743","22783","57055","99.2","213.1","88.2","91.2","448","10","2","4008","1581635","7B60F4074FB17651","600848","5399152","1581635","0","59998.8","27.16","300.4","309.6","154.0","245.5","5.9","8.5","322.4","324.8","102.6","202.6","285.5","292.9","375.8","container","10","90","7e283c2"
"2026-09-23T17:06:41.4689483+00:00","f4784a1c-7fa9-41fb-a82c-47b82483da54","kafka-direct","4","20000","1","0","1","2000000","89.947","20000.6","3043.1","3047","5379","5643","11647","17.1","64.8","104.1","108.8","197","10","1","1769","527750","CF55C698510651DB","201011","1798989","527750","0","19999.7","4.44","45.2","52.0","1437.3","1568.4","1.9","2.7","321.1","321.7","17.4","214.3","106.8","108.8","402.5","container","10","90","7e283c2"
"2026-09-23T17:08:40.4044665+00:00","682a1f75-5198-4886-8224-ce454484e682","kafka-pipelines","4","60000","4","0","1","6000000","89.942","60002.1","3080.6","3079","5327","5615","11399","52.0","110.8","105.2","109.4","589","11","1","5264","1581635","7B60F4074FB17651","603308","5396692","1581635","0","59998.7","4.54","42.9","57.7","1470.5","1591.9","4.4","6.3","322.2","324.3","48.5","214.9","108.5","112.0","401.0","container","10","90","7e283c2"
"2026-09-23T17:10:35.3363317+00:00","4a93cc41-fb90-4cb0-ba99-149843c0508e","rabbitmq-channels","4","10000","2","0","1","1000000","89.983","10000.0","552.5","486","846","1548","21023","69.1","159.0","87.1","92.0","80","7","1","719","263875","0E72CBF60A5BBB63","100163","899837","263875","0","9999.9","8.05","218.9","223.7","127.0","196.3","1.5","2.2","320.9","321.4","71.4","199.4","225.7","233.5","372.5","container","10","90","7e283c2"
"2026-09-23T17:12:30.4100892+00:00","54dbaf6e-5b7d-49d0-98b2-6f78e04209ef","rabbitmq-direct","4","40000","5","0","1","4000000","89.986","40000.3","943.2","636","1790","9663","33887","78.0","169.2","89.3","91.1","299","11","1","2681","1054171","1B1596EF15511858","400517","3599483","1054171","0","39999.2","10.29","271.5","277.0","138.9","177.0","4.0","5.3","321.9","323.5","80.1","202.6","290.2","297.1","370.3","container","10","90","7e283c2"
"2026-09-23T17:14:29.3722834+00:00","9a8f53b7-1691-4a74-8e86-feda611932eb","kafka-direct","4","60000","4","0","1","6000000","89.946","60001.1","3137.2","3139","5379","5735","11735","28.0","70.4","104.3","107.4","588","11","1","5265","1581635","7B60F4074FB17651","603140","5396860","1581635","0","59998.5","4.38","48.6","58.8","1535.8","1710.9","4.8","6.6","322.5","324.0","28.7","203.4","106.4","112.8","370.0","container","10","90","7e283c2"
"2026-09-23T17:16:24.5209818+00:00","8511604e-f9f1-4579-b717-79f2df58b1da","rabbitmq-channels","4","40000","2","0","1","4000000","89.985","40000.1","885.5","636","1771","6279","29935","82.7","167.7","87.4","89.6","299","11","1","2681","1054171","1B1596EF15511858","400589","3599411","1054171","0","39999.7","9.05","241.7","283.6","138.3","148.6","3.7","5.3","321.9","323.5","82.0","188.2","266.6","297.0","375.9","container","10","90","7e283c2"
"2026-09-23T17:18:23.8258188+00:00","7624371e-5613-41e2-b790-ff8e5d85e0cd","kafka-channels","4","20000","4","0","1","2000000","89.945","20000.2","3057.2","3057","5407","5679","12207","25.4","73.1","100.6","105.2","197","10","1","1770","527750","CF55C698510651DB","201082","1798918","527750","0","19999.6","5.51","46.0","51.1","1455.5","1702.3","1.8","2.7","320.9","321.8","24.6","195.5","105.9","108.8","403.7","container","10","90","7e283c2"
