"architecture","target_rate","runs","valid_runs","invalid","throughput","mean_ms","p50_ms","p95_ms","p99_ms","p99_min_ms","p99_max_ms","consumer_cpu_pct","consumer_mem_mb","broker_cpu_pct","broker_mem_mb","db_cpu_pct","windows_dropped"
"kafka-channels","10000","5","5","","10000","3,09","3,05","5,51","5,84","5,82","5,87","19,7","107","42,4","1612","1,2","0"
"kafka-direct","10000","5","5","","10000","3,06","3,01","5,46","5,78","5,77","5,79","13,8","106","42,9","1618","1,2","0"
"kafka-pipelines","10000","5","5","","10000","3,08","3,04","5,5","5,83","5,82","5,84","20","106","43,2","1529","1,2","0"
"rabbitmq-channels","10000","5","5","","10000","0,54","0,48","0,82","1,42","1,39","1,55","69,1","92","215,8","199","1,4","0"
"rabbitmq-direct","10000","5","5","","10000","0,54","0,48","0,81","1,4","1,32","1,56","63,2","91","216,9","146","1,4","0"
"rabbitmq-pipelines","10000","5","5","","10000","0,54","0,48","0,82","1,45","1,43","1,48","69,4","90","217,1","202","1,4","0"
"kafka-channels","20000","5","5","","20000","3,06","3,06","5,41","5,68","5,67","5,7","25,3","106","45,1","1606","1,8","0"
"kafka-direct","20000","5","5","","20000","3,04","3,05","5,38","5,64","5,62","5,66","17,1","107","44,9","1576","1,8","0"
"kafka-pipelines","20000","5","5","","20001","3,06","3,06","5,41","5,68","5,67","5,69","25,9","108","44,5","1579","1,9","0"
"rabbitmq-channels","20000","5","5","","20000","0,64","0,52","1","2,6","2,25","2,61","68,5","94","234,9","154","2,2","0"
"rabbitmq-direct","20000","5","5","","20000","0,63","0,52","0,99","2,27","2,24","2,55","63,5","92","232,3","197","2,2","0"
"rabbitmq-pipelines","20000","5","5","","20000","0,64","0,53","1,01","2,33","2,12","2,96","69,6","92","235,5","195","2,2","0"
"kafka-channels","40000","5","5","","40001","3,1","3,1","5,39","5,7","5,66","5,77","37,3","107","45,3","1582","3,2","0"
"kafka-direct","40000","5","5","","40002","3,1","3,1","5,37","5,68","5,62","5,71","22,7","106","43,7","1575","3,1","0"
"kafka-pipelines","40000","5","5","","40001","3,1","3,09","5,38","5,68","5,66","5,72","38,9","109","46,4","1643","3,3","0"
"rabbitmq-channels","40000","5","5","","40000","0,92","0,64","1,82","7,54","6,28","9,94","82,6","91","256,6","219","3,9","0"
"rabbitmq-direct","40000","5","5","","40000","0,95","0,64","1,8","9,66","5,94","10,9","78,5","91","269","203","3,8","0"
"rabbitmq-pipelines","40000","5","5","","40000","0,93","0,63","1,77","9,71","7,95","11,94","83","92","268,2","180","3,9","0"
"kafka-channels","60000","5","5","","60002","3,09","3,09","5,34","5,64","5,58","5,82","48,4","108","46,5","1671","4,7","0"
"kafka-direct","60000","5","5","","60001","3,18","3,09","5,34","5,68","5,63","16,66","27,7","107","45","1678","4,6","0"
"kafka-pipelines","60000","5","5","","60001","3,1","3,1","5,34","5,64","5,61","5,72","51,8","108","46,8","1684","4,8","0"
"rabbitmq-channels","60000","5","5","","60000","1,82","0,99","4,74","22,78","21,26","23,31","99,2","93","299,2","246","5,8","0"
"rabbitmq-direct","60000","5","5","","60000","1,82","0,97","4,96","22,86","22,11","25,42","95,1","93","288,2","187","5,7","0"
"rabbitmq-pipelines","60000","5","5","","60000","1,8","0,99","4,76","22,77","21,7","25,87","100,3","94","298,6","189","5,8","0"
"kafka-channels","100000","5","5","","100003","3,16","3,16","5,36","5,68","5,64","6,04","72,6","109","47,4","1854","8,1","0"
"kafka-direct","100000","5","5","","100003","3,18","3,18","5,37","5,71","5,63","5,81","36,8","109","45,6","1922","7,7","0"
"kafka-pipelines","100000","5","5","","100002","3,42","3,2","5,4","5,79","5,62","196,1","76,5","113","44,9","1842","7,6","0"
"kafka-channels","200000","5","5","","200005","3,26","3,21","5,31","5,56","5,54","6,06","126,5","116","51,1","1909","16,6","0"
"kafka-direct","200000","5","5","","200004","3,28","3,22","5,32","5,61","5,56","157,7","56,3","116","49","1952","16,7","0"
"kafka-pipelines","200000","5","5","","200004","3,25","3,25","5,32","5,56","5,55","5,88","137","116","50,3","1985","17","0"
"kafka-channels","400000","5","1","#5:jitter #4:jitter #2:jitter #3:jitter","400007","4,46","3,64","5,56","24,91","24,91","24,91","225,2","149","53,1","1934","37,7","124898"
"kafka-direct","400000","5","2","#5:digest #3:jitter #4:jitter","400004","3,96","3,54","5,49","12,03","5,96","18,1","83,8","152","53,6","1966","35,8","262669"
"kafka-pipelines","400000","5","1","#4:jitter #1:jitter #5:jitter #3:jitter","400006","5,29","3,75","5,77","72,58","72,58","72,58","212,7","146","51,7","2102","37,3","0"
