"architecture","target_rate","runs","valid_runs","invalid","throughput","mean_ms","p50_ms","p95_ms","p99_ms","p99_min_ms","p99_max_ms","consumer_cpu_pct","consumer_mem_mb","broker_cpu_pct","broker_mem_mb","db_cpu_pct","windows_dropped"
"kafka-channels","5000","5","5","","5001","25,48","25,46","45,66","49,02","6,33","49,12","13,9","77","45,1","1559","0,9","0"
"kafka-direct","5000","5","5","","5000","3,5","3,43","5,94","6,33","6,31","49,06","10,6","76","42,5","1506","0,9","0"
"kafka-pipelines","5000","5","5","","5000","3,51","3,44","5,96","6,35","6,34","49,09","14,1","77","44,2","1482","0,9","0"
"rabbitmq-channels","5000","5","5","","5000","0,81","0,74","1,16","1,69","1,6","1,74","29,2","68","179,5","172","1","0"
"rabbitmq-direct","5000","5","5","","5000","0,81","0,74","1,15","1,7","1,65","2,08","27,1","68","176,1","212","1","0"
"rabbitmq-pipelines","5000","5","5","","5000","0,82","0,74","1,15","1,66","1,64","1,7","29,1","68","177,2","148","1","0"
"kafka-channels","10000","5","5","","10000","3,39","3,36","5,8","6,12","6,11","48,8","18,1","79","46","1513","1,2","0"
"kafka-direct","10000","5","5","","10000","6,09","3,43","5,9","48,7","6,09","62,11","12,9","77","46,2","1512","1,2","0"
"kafka-pipelines","10000","5","5","","10000","25,35","25,31","45,41","48,86","6,15","58,85","18,4","78","44,9","1536","1,2","0"
"rabbitmq-channels","10000","5","5","","10000","0,93","0,83","1,37","2,42","2,34","2,55","30,6","69","192,5","211","1,5","0"
"rabbitmq-direct","10000","5","5","","10000","0,93","0,82","1,37","2,51","2,12","4,12","27,2","69","191,8","214","1,5","0"
"rabbitmq-pipelines","10000","5","5","","10000","0,94","0,83","1,38","2,55","2,42","4,18","31,2","69","190,8","207","1,5","0"
"kafka-channels","20000","5","5","","20006","25,11","25,07","45,25","48,58","6,03","48,83","25,2","80","47,2","1569","1,9","0"
"kafka-direct","20000","5","5","","20001","3,39","3,4","5,73","6,03","6,01","48,38","17,2","79","46,9","1591","1,9","0"
"kafka-pipelines","20000","5","5","","20001","3,38","3,38","5,71","6","5,9","48,61","26,6","79","47,4","1455","1,9","0"
"rabbitmq-channels","20000","5","5","","20000","1,27","1,05","2,06","5,93","4,96","6,44","34,7","69","211,7","213","2,4","0"
"rabbitmq-direct","20000","5","5","","20000","1,27","1,04","2,1","5,81","5,37","6,92","31,9","69","213","209","2,4","0"
"rabbitmq-pipelines","20000","5","5","","20000","1,27","1,04","2,14","5,91","5,77","6,69","34,4","69","212,1","219","2,4","0"
"kafka-channels","30000","5","5","","30001","3,4","3,38","5,68","5,99","5,95","41,44","33,6","80","48,2","1540","2,5","0"
"kafka-direct","30000","5","5","","30002","21,76","21,79","38,82","41,22","6,01","41,38","21,1","79","48,3","1513","2,5","0"
"kafka-pipelines","30000","5","5","","30001","3,37","3,37","5,67","5,95","5,93","41,25","33,1","80","49,2","1544","2,5","0"
"rabbitmq-channels","30000","5","5","","30000","1,98","1,5","3,96","12,38","12,08","14,06","45,1","70","228,9","234","3,4","0"
"rabbitmq-direct","30000","5","5","","30000","1,95","1,48","3,89","12,1","11,9","12,49","38,8","69","228,1","233","3,3","0"
"rabbitmq-pipelines","30000","5","5","","30000","1,94","1,51","3,84","11,72","10,7","12,17","44,9","70","227,6","198","3,4","0"
"kafka-channels","100000","5","5","","100003","3,55","3,54","5,71","6,02","6,01","15,9","79,6","88","46,7","1904","7,9","0"
"kafka-direct","100000","5","5","","100003","9,12","9,17","14,88","15,82","6,03","15,88","42,2","87","51,8","1942","7,8","0"
"kafka-pipelines","100000","5","5","","100004","4,77","3,62","5,77","6,44","6,09","15,84","87,3","88","47,9","1859","7,9","0"
"kafka-channels","200000","5","5","","200006","4,27","3,82","5,88","6,97","6,3","98,69","141,5","95","58,6","1942","18,4","0"
"kafka-direct","200000","5","5","","200006","6,54","6,53","10,14","10,82","6,32","35,46","62,6","94","51,7","1954","16,7","0"
"kafka-pipelines","200000","5","5","","200007","3,9","3,83","5,86","6,39","6,26","889,86","151,1","95","58,1","1950","18,5","0"
"kafka-channels","400000","5","2","#3:jitter #4:jitter #1:jitter","399471","8,01","5,05","7,89","109,2","9,88","208,51","255,4","118","66","1870","44,6","79178"
"kafka-direct","400000","5","3","#3:jitter #2:jitter","399991","6,92","4,35","6,4","74,82","8,54","180,86","91","122","64,5","2107","42,1","107578"
"kafka-pipelines","400000","5","2","#2:digest #4:jitter #5:jitter","400008","6,55","5,22","8,86","33,82","10,1","57,54","280,4","123","71,1","1802","46,6","69844"
