timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped
2026-09-24T14:59:46.7769384+00:00,8d9e19db-be69-4e90-85b3-d52a53b045cb,kafka-direct,4,50000,1,0,1,2000000,29.929,50004.9,3255.0,3225,5519,6327,28511,17.8,51.4,96.3,104.5,192,4,1,1723,20500,029F1EF4FEE83D12,503429,1496571,20500,0
2026-09-24T15:00:47.7245914+00:00,c03e730d-195f-4594-8854-fb3c3ba72c2a,kafka-direct,4,100000,1,0,1,4000000,29.944,100011.9,3246.5,3235,5447,5891,25871,24.7,80.5,101.0,107.2,383,4,1,3435,41000,709837F65684FF09,1005235,2994765,41000,0
2026-09-24T15:01:48.6438330+00:00,41f29bd2-b988-4438-b59a-5c07ebf9420a,kafka-direct,4,200000,1,0,1,8000000,29.945,200006.6,3389.5,3205,5347,6267,82431,36.5,96.2,100.4,105.1,765,4,1,6857,80800,BD3AE4A976AA4F8F,2010886,5989114,80800,0
2026-09-24T15:02:48.6222749+00:00,eba25cf0-f507-4e29-b5f4-d3b361b5fdcf,kafka-direct,4,300000,1,0,1,12000000,29.944,300018.5,3799.3,3393,5471,10223,164863,49.6,119.5,101.0,107.4,1147,4,1,10280,120800,A65D5FB40CDE83EB,3016172,8983828,120800,0
2026-09-24T15:03:48.7754936+00:00,06ab80b0-dada-468e-ab53-4fde65facec0,kafka-channels,4,50000,1,0,1,2000000,29.940,50006.1,3154.0,3149,5423,5823,14183,34.5,78.2,98.1,105.8,192,4,1,1724,20500,029F1EF4FEE83D12,502816,1497184,20500,0
2026-09-24T15:04:49.2516560+00:00,d56b153c-d2b2-4857-b72a-0bfbfd0dfc73,kafka-channels,4,100000,1,0,1,4000000,29.941,100008.8,7170.1,3215,5487,200831,453119,49.7,101.7,101.8,109.1,383,4,1,3438,41000,709837F65684FF09,1005655,2994345,41000,0
2026-09-24T15:05:51.1229749+00:00,3bd19d41-0013-4928-b498-ec898ae373bb,kafka-channels,4,200000,1,0,1,8000000,29.941,200015.1,22788.7,3457,92287,589823,814079,81.6,150.3,103.7,146.6,766,4,1,6864,80800,BD3AE4A976AA4F8F,2011284,5988716,80800,0
2026-09-24T15:06:51.6909517+00:00,d58461fc-e747-4921-8cad-5e03f11fe672,kafka-channels,4,300000,1,0,1,12000000,29.941,300021.3,144614.7,4283,1378303,1907711,2277375,102.1,286.6,105.7,249.2,1148,4,1,10291,120800,A65D5FB40CDE83EB,3016926,8983074,120800,0
2026-09-24T15:07:53.0561453+00:00,5a174e68-7b4c-4cc6-9f38-cc2e27681fed,kafka-pipelines,4,50000,1,0,1,2000000,29.942,50006.1,3148.1,3143,5411,5795,11791,34.9,70.5,95.8,103.2,192,4,1,1724,20500,029F1EF4FEE83D12,502734,1497266,20500,0
2026-09-24T15:08:52.6739179+00:00,7c91cb10-3eec-47be-8c1c-1033071e8364,kafka-pipelines,4,100000,1,0,1,4000000,29.942,100002.5,3316.2,3311,5507,6063,15207,50.5,91.5,98.7,104.0,383,4,1,3438,41000,709837F65684FF09,1005741,2994259,41000,0
2026-09-24T15:09:52.4847400+00:00,196e0181-1ba8-47d1-8676-22523d102e89,kafka-pipelines,4,200000,1,0,1,8000000,29.939,200022.7,3628.0,3293,5391,6563,129791,93.9,146.0,98.7,103.7,766,4,1,6861,80800,BD3AE4A976AA4F8F,2011592,5988408,80800,0
2026-09-24T15:10:52.3603987+00:00,b62af982-e2d2-4bd7-ba00-9924c656e3a2,kafka-pipelines,4,300000,1,0,1,12000000,29.936,300028.4,3512.1,3509,5503,6227,19295,121.7,202.7,100.3,105.2,1149,4,1,10290,120800,A65D5FB40CDE83EB,3018493,8981507,120800,0
2026-09-24T15:11:52.2887637+00:00,f79befa4-36ba-4431-88c8-3d4c589eccbe,kafka-pipelines,4,400000,1,0,1,16000000,29.943,400026.1,5064.1,3783,5915,44415,212735,151.3,242.2,103.4,112.2,1531,4,1,13717,160800,5BFE458A55E0E72C,4022121,11977879,160800,0
