timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped
2026-09-24T15:13:01.8201958+00:00,d91fd6a4-f13f-4280-8f98-3f70ff28fa61,rabbitmq-direct,4,20000,1,0,1,800000,29.985,20000.3,942.3,599,2909,5399,17903,90.9,177.9,82.5,85.5,61,5,1,554,8200,C3A002F1BBCD9361,200292,599708,8200,0
2026-09-24T15:13:57.7634469+00:00,035d81b0-7ac6-4f88-936c-c7996a819f19,rabbitmq-direct,4,30000,1,0,1,1200000,29.988,29998.3,1277.9,792,3943,7079,23839,88.3,163.2,83.8,92.2,90,4,1,804,12300,708C952BDF9ADE29,300409,899591,12300,0
2026-09-24T15:14:53.2280971+00:00,02f9c194-0b96-432e-a169-d8802e097b2b,rabbitmq-direct,4,40000,1,0,1,1600000,29.987,40017.1,2229.9,1317,6339,13295,83967,83.9,182.5,83.3,90.2,117,5,1,1054,16400,08F70762DF6F3EED,400004,1199996,16400,0
2026-09-24T15:15:48.6635348+00:00,5ecd31f5-4a17-4ec1-ab72-d099171ae663,rabbitmq-direct,4,50000,1,0,1,2000000,29.989,49996.4,2819.9,1800,7235,18079,73663,83.4,162.1,84.0,91.3,146,5,1,1309,20500,029F1EF4FEE83D12,500655,1499345,20500,0
2026-09-24T15:16:44.1428804+00:00,3f9b8acc-aa19-450b-8bee-41c5ea73287a,rabbitmq-direct,4,60000,1,0,1,2400000,29.986,60001.5,4365.8,2683,10679,41279,101887,89.9,173.9,84.7,92.0,174,5,1,1562,24600,0CBBFB79E9A74455,600806,1799194,24600,0
2026-09-24T15:17:39.5959302+00:00,57fb7afc-1b4f-45aa-ba39-c34830df1dd7,rabbitmq-direct,4,80000,1,0,1,3200000,29.988,79996.3,12089.0,5699,52223,136319,228991,101.6,175.1,85.1,90.4,232,5,1,2075,32800,C721D41968A35A34,801031,2398969,32800,0
2026-09-24T15:18:35.1052168+00:00,96e6b077-6a73-4880-a77e-d57009cd1823,rabbitmq-channels,4,20000,1,0,1,800000,29.984,20000.1,1012.9,621,3285,5931,16447,93.9,161.3,82.2,85.2,62,4,1,554,8200,C3A002F1BBCD9361,200321,599679,8200,0
2026-09-24T15:19:31.0342332+00:00,276521ac-6915-4203-a6d2-4960f2df4119,rabbitmq-channels,4,30000,1,0,1,1200000,29.983,30000.3,1381.1,830,4395,7411,20335,92.7,166.5,83.6,91.8,90,4,1,805,12300,708C952BDF9ADE29,300498,899502,12300,0
2026-09-24T15:20:26.5837039+00:00,0d50d6b1-2070-4846-a048-c8fe5d92e67d,rabbitmq-channels,4,40000,1,0,1,1600000,29.979,40007.2,1879.6,1178,5499,9223,40639,90.1,170.2,84.5,92.3,118,5,1,1056,16400,08F70762DF6F3EED,400619,1199381,16400,0
2026-09-24T15:21:22.4923001+00:00,d705bcae-a3fb-4d3d-b5a8-0be6465ee3a9,rabbitmq-channels,4,50000,1,0,1,2000000,29.984,50000.7,2850.3,1717,7491,21375,100415,89.7,169.5,84.2,91.0,146,5,1,1311,20500,029F1EF4FEE83D12,500758,1499242,20500,0
2026-09-24T15:22:17.8971580+00:00,04816790-d317-4f76-b052-b006159725ae,rabbitmq-channels,4,60000,1,0,1,2400000,29.986,60000.0,4211.0,2375,10831,47199,86911,95.6,171.8,84.5,91.4,175,5,1,1564,24600,0CBBFB79E9A74455,600867,1799133,24600,0
2026-09-24T15:23:13.3639507+00:00,948783dc-a78e-4fe6-bb69-7bd762a7c17a,rabbitmq-channels,4,80000,1,0,1,3200000,29.987,80009.1,9383.7,5443,31839,86655,155775,108.1,182.8,85.2,90.7,232,4,1,2076,32800,C721D41968A35A34,800777,2399223,32800,0
2026-09-24T15:24:09.3052058+00:00,39ec8e4a-5bda-4a50-bb97-34a40baea855,rabbitmq-pipelines,4,20000,1,0,1,800000,29.983,20000.1,1038.1,630,3387,5919,17583,93.7,175.0,82.3,86.6,62,4,1,554,8200,C3A002F1BBCD9361,200332,599668,8200,0
2026-09-24T15:25:04.7891974+00:00,dd5a7182-ba84-4558-a62a-56031322fbf7,rabbitmq-pipelines,4,30000,1,0,1,1200000,29.985,30000.6,1296.8,808,3999,6815,22399,93.9,175.8,83.9,92.5,90,4,1,805,12300,708C952BDF9ADE29,300434,899566,12300,0
2026-09-24T15:25:59.9990497+00:00,ddbc6582-2c98-4293-b4e4-1611969b4232,rabbitmq-pipelines,4,40000,1,0,1,1600000,29.986,40002.0,2014.6,1258,5879,9831,50815,90.1,159.8,84.0,91.0,118,5,1,1055,16400,08F70762DF6F3EED,400505,1199495,16400,0
2026-09-24T15:26:55.4367071+00:00,cd1bcf5d-87a6-48f8-911b-2432a0ed5ad3,rabbitmq-pipelines,4,50000,1,0,1,2000000,29.982,50004.4,2700.3,1712,7043,16215,75583,91.2,165.5,83.6,91.5,146,5,1,1310,20500,029F1EF4FEE83D12,500768,1499232,20500,0
2026-09-24T15:27:50.5821874+00:00,182cab0b-d165-468b-b25e-214603a65bd9,rabbitmq-pipelines,4,60000,1,0,1,2400000,29.986,59999.6,4110.6,2623,10103,34367,93503,94.7,180.5,84.1,90.9,175,4,1,1566,24600,0CBBFB79E9A74455,600854,1799146,24600,0
