timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped
2026-09-23T13:30:37.8598059+00:00,3059b0d7-7667-4069-944f-9878465bb119,kafka-direct,4,10000,1,0,0,200000,9.944,10001.9,3066.5,3031,5471,5827,9559,10.3,45.1,69.3,72.7,20,2,1,180,53278,4F329CBA8BC353AF,100538,99462,0,0
2026-09-23T13:31:16.9557218+00:00,f49c2efd-606e-4da3-bfdc-10a79d1ada1e,kafka-direct,4,20000,1,0,0,400000,9.944,20006.5,3036.0,3041,5371,5639,8807,11.8,39.3,71.0,75.0,39,2,0,356,106556,C755F904E1138504,201046,198954,0,0
2026-09-23T13:31:55.9242714+00:00,76644d47-b392-48f5-94ec-e20e40bdc299,kafka-direct,4,30000,1,0,0,600000,9.943,30011.0,3034.9,3035,5335,5603,8863,13.0,42.3,68.7,71.4,59,2,0,530,159841,46CA2008E51FDA01,301602,298398,0,0
2026-09-23T13:32:34.8197551+00:00,90ecfbaf-a2b4-4f85-bbdb-9a863691154e,kafka-direct,4,40000,1,0,0,800000,9.944,40009.4,3093.1,3093,5371,5679,7535,14.8,44.5,69.8,73.2,78,2,0,706,212970,1F66C38D7E5D1953,402141,397859,0,0
2026-09-23T13:33:14.2646507+00:00,1f5d91a9-2f0e-4c96-aeeb-b515e1ba40b7,kafka-direct,4,60000,1,0,0,1200000,9.945,60003.1,3017.3,3019,5271,5523,9607,16.8,45.3,70.4,74.1,117,2,0,1056,319525,98F8A073C2F16443,603259,596741,0,0
2026-09-23T13:33:53.5491032+00:00,d96d0a46-a099-4537-9dca-c25fb19af3b1,kafka-direct,4,80000,1,0,0,1600000,9.945,80012.3,3051.8,3055,5275,5543,6775,19.4,45.8,73.8,78.8,157,2,1,1408,426063,BBA95C6573503D37,804239,795761,0,0
2026-09-23T13:34:32.3418301+00:00,c64dead3-6ebb-45b3-a905-b638b0aeab7a,kafka-direct,4,100000,1,0,0,2000000,9.944,100035.4,3116.4,3119,5315,5627,9535,22.1,65.6,72.5,77.1,196,2,1,1757,532744,D301F56936A69634,1005289,994711,0,0
2026-09-23T13:35:11.4200772+00:00,f618d9a8-699d-42fa-a0b5-b8929ec01a35,kafka-direct,4,200000,1,0,0,4000000,9.947,200047.7,3146.4,3151,5263,5491,11327,32.6,82.1,78.1,83.9,391,3,2,3510,1064965,CB7E0C326361420B,2010047,1989953,0,0
2026-09-23T13:35:50.4321556+00:00,16ca8f10-bee4-4e05-9266-46d2e85a842b,kafka-direct,4,400000,1,0,0,8000000,9.947,400060.2,3451.4,3459,5399,5639,15423,59.0,146.8,82.8,91.6,782,4,2,7017,2129939,844F56EB87C27D6E,4020548,3979452,0,0
2026-09-23T13:36:29.2927604+00:00,e711a749-b2db-4caf-b4f4-f3640d1000ed,kafka-channels,4,10000,1,0,0,200000,9.942,10003.4,3071.3,3025,5495,5815,9023,17.4,49.6,70.7,74.4,20,2,1,181,53278,4F329CBA8BC353AF,100543,99457,0,0
2026-09-23T13:37:08.4271007+00:00,66a74c49-e6a9-4ea0-bef7-163e15e84f7a,kafka-channels,4,20000,1,0,0,400000,9.945,20007.4,3044.2,3041,5403,5659,8231,21.7,58.0,69.1,71.9,39,2,0,356,106556,C755F904E1138504,201022,198978,0,0
2026-09-23T13:37:47.3393100+00:00,ebaf9e99-66fa-43f4-af95-d81c69fcabdc,kafka-channels,4,30000,1,0,0,600000,9.941,30011.1,3063.8,3061,5379,5663,10159,26.3,55.9,69.4,72.7,59,2,0,531,159841,46CA2008E51FDA01,301646,298354,0,0
2026-09-23T13:38:26.5491725+00:00,9810b356-14c8-490c-852d-55fc13a87c06,kafka-channels,4,40000,1,0,0,800000,9.939,40010.1,3026.3,3025,5319,5567,9847,29.6,77.4,70.5,74.5,78,2,1,707,212970,1F66C38D7E5D1953,402333,397667,0,0
2026-09-23T13:39:05.5052146+00:00,64450474-03f8-4ae8-89b9-d9d5ea8b8a41,kafka-channels,4,60000,1,0,0,1200000,9.944,60012.3,3074.9,3073,5327,5627,9687,39.2,90.7,70.7,73.8,117,2,1,1057,319525,98F8A073C2F16443,603257,596743,0,0
2026-09-23T13:39:44.3441555+00:00,3ef755c9-3f09-49f9-b887-c3b9371d4896,kafka-channels,4,80000,1,0,0,1600000,9.943,80022.8,3066.5,3065,5295,5567,10063,48.3,123.8,74.4,78.9,158,2,2,1410,426063,BBA95C6573503D37,804304,795696,0,0
