timestamp,sink,target_rate,achieved_rate,rate_error_pct,max_lateness_ms,events,fleet,dataset_laps
2026-09-23T05:03:00.6918421+00:00,kafka,10000,9854.9,-1.451,7.68,100000,134,0
2026-09-23T05:03:25.0564060+00:00,kafka,20000,19947.7,-0.261,4.41,200000,268,0
2026-09-23T05:03:49.5359034+00:00,kafka,30000,29868.9,-0.437,4.53,300000,402,0
2026-09-23T05:04:14.0851539+00:00,kafka,40000,39994.1,-0.015,5.17,400000,537,0
2026-09-23T05:04:38.7624730+00:00,kafka,50000,49873.8,-0.252,5.03,500000,671,0
2026-09-23T05:05:03.3158348+00:00,kafka,100000,99985.1,-0.015,9.07,1000000,1341,0
2026-09-23T05:05:27.6903544+00:00,kafka,200000,199963.0,-0.019,6.36,2000000,2683,0
2026-09-23T05:05:52.2042603+00:00,kafka,10000,9998.7,-0.013,4.77,100000,134,0
2026-09-23T05:06:16.8525856+00:00,kafka,20000,19997.0,-0.015,5.01,200000,268,0
2026-09-23T05:06:41.2324768+00:00,kafka,30000,29997.3,-0.009,4.83,300000,402,0
2026-09-23T05:07:05.6983853+00:00,kafka,40000,39936.1,-0.160,4.27,400000,537,0
2026-09-23T05:07:30.4374711+00:00,kafka,50000,49989.3,-0.021,4.88,500000,671,0
2026-09-23T05:07:55.1361701+00:00,kafka,100000,99835.0,-0.165,5.06,1000000,1341,0
2026-09-23T05:08:19.5337796+00:00,kafka,200000,199662.7,-0.169,4.98,2000000,2683,0
2026-09-23T05:08:43.9479415+00:00,kafka,10000,9998.4,-0.016,5.38,100000,134,0
2026-09-23T05:09:08.4925303+00:00,kafka,20000,19959.5,-0.202,4.88,200000,268,0
2026-09-23T05:09:33.0276576+00:00,kafka,30000,29888.0,-0.373,4.98,300000,402,0
2026-09-23T05:09:57.3940646+00:00,kafka,40000,39993.6,-0.016,5.56,400000,537,0
2026-09-23T05:10:21.9241062+00:00,kafka,50000,49992.6,-0.015,4.97,500000,671,0
2026-09-23T05:10:46.4159218+00:00,kafka,100000,99968.8,-0.031,14.57,1000000,1341,0
2026-09-23T05:11:10.7985346+00:00,kafka,200000,199698.1,-0.151,7.34,2000000,2683,0
2026-09-23T05:11:34.5931288+00:00,rabbitmq,10000,9999.5,-0.005,15.94,100000,134,0
2026-09-23T05:11:58.4674723+00:00,rabbitmq,20000,19998.0,-0.010,22.75,200000,268,0
2026-09-23T05:12:22.6013274+00:00,rabbitmq,30000,29993.1,-0.023,56.97,300000,402,0
2026-09-23T05:12:46.4516479+00:00,rabbitmq,10000,9999.3,-0.007,21.76,100000,134,0
2026-09-23T05:13:10.4609780+00:00,rabbitmq,20000,19998.4,-0.008,28.22,200000,268,0
2026-09-23T05:13:34.6659274+00:00,rabbitmq,30000,29989.8,-0.034,52.15,300000,402,0
2026-09-23T05:13:58.9886380+00:00,rabbitmq,10000,9999.6,-0.004,23.02,100000,134,0
2026-09-23T05:14:22.8961801+00:00,rabbitmq,20000,19997.2,-0.014,29.87,200000,268,0
2026-09-23T05:14:46.7882283+00:00,rabbitmq,30000,29994.7,-0.018,37.58,300000,402,0
2026-09-23T05:15:10.8261545+00:00,rabbitmq,40000,39984.5,-0.039,193.57,400000,537,0
